M/C Brand,Production Date,M/C Dia & Gauge,Booking Type,Lot,Color,Color Range,stitch,Dia,GSM,SHIFT-A,SHIFT-B,SHIFT-C,Without Shift(Outbound),Shift Total,Machine Total,Reject Qty,Yarn_Count,Yarn_count_length,m/c_dia,m/c_gauge,fabric_dia_1,fabric_dia_2,contraction_1,contraction_2,contraction,number_of_feeders,yarn_count_1,yarn_count_tex_1,yarn_count_tex_2,yarn_count_tex_3,stitch_1,stitch_2,stitch_3,tightness_factor,composition,construction,body_part
Fukuhara,27-06-2022  ,28 X 24,Sample Without Order,GU-L1811132017,DK BLUE 22317 MUST MATCHING WITH APPROVED LD NO 19531 OPTION G  ,Medium Color  ,2.76  ,54,140,0,0,12.1,0,12.1,121.7,0,32/1,1,28,24,54,54,1.928571429,1.928571429,1.928571429,90,32/1,18.45625,,,2.76,,,1.556548474,Cotton,S/J,Body
Fukuhara,27-06-2022  ,28 X 24,Sample Without Order,SS-28707,AOP ON IVORY 22904  ,White Color  ,2.85  ,56,155,17.4,0,0,0,17.4,0,,28/1,1,28,24,56,56,2,2,2,90,28/1,21.09285714,,,2.85,,,1.611472303,Cotton,S/J,Body
Fukuhara,27-06-2022  ,28 X 24,Sample Without Order,MGF-M-4020,CHARCOAL HEATHER  ,Melange  ,2.90  ,60,180,0,12.7,0,0,12.7,0,,24/1,1,28,24,60,60,2.142857143,2.142857143,2.142857143,90,24/1,24.60833333,,,2.9,,,1.710578868,Cotton,S/J,Top
Fukuhara,27-06-2022  ,28 X 24,Sample Without Order,SS-28707,"BLUE 47361, NAVY 48633, BRIGHT RED 23182, ELECTRIC BLUE 48680  ",Medium Color  ,2.85  ,56,155,44.9,0,0,0,44.9,0,,28/1,1,28,24,56,56,2,2,2,90,28/1,21.09285714,,,2.85,,,1.611472303,Cotton,S/J,Body
Fukuhara,27-06-2022  ,28 X 24,Sample Without Order,SS-28707,BLACK 10005  ,Black Color  ,2.90  ,56,155,0,10,0,0,10,0,,28/1,1,28,24,56,56,2,2,2,90,28/1,21.09285714,,,2.9,,,1.583688298,Cotton,S/J,Body
Fukuhara,27-06-2022  ,28 X 24,Sample Without Order,SDS-5443,11-0605 JET STREAM  ,White Color  ,2.86  ,58,165,0,11.9,0,0,11.9,0,,26/1,1,28,24,58,58,2.071428571,2.071428571,2.071428571,84,26/1,22.71538462,,,2.86,,,1.666456625,Cotton,LS/J,Body
Fukuhara,27-06-2022  ,28 X 24,Sample Without Order,SS-28707,BASE COLOR 80911 SPICE  ,Light Color  ,2.80  ,56,165,12.7,0,0,0,12.7,0,,28/1,1,28,24,56,56,2,2,2,90,28/1,21.09285714,,,2.8,,,1.640248595,Cotton,S/J,Body
Fukuhara,27-06-2022  ,28 X 24,Sample Without Order,EF-946,AOP ON SOFT BULE FARL 21218  ,Medium Color  ,2.85  ,56,140,6.7,10.6,0,0,17.3,36.71,0,30/1,1,28,24,56,56,2,2,2,90,30/1,19.68666667,,,2.85,,,1.556830151,Polyester,S/J,Body
Fukuhara,27-06-2022  ,28 X 24,Sample Without Order,"EF-0227,EF-49214",HUAFU H3003BY  ,Wash  ,2.90  ,60,180,0,0,1.2,0,1.2,0,,24/1,1,28,24,60,60,2.142857143,2.142857143,2.142857143,84,24/1,24.60833333,,,2.9,,,1.710578868,Cotton,LS/J,Top
Fukuhara,27-06-2022  ,28 X 24,Sample Without Order,"MS-210622-44/22,MS-210622-47/22",FLAME 32638+IVORY 44600  ,Wash  ,2.85  ,56,155,0,0,0.01,0,0.01,0,,28/1,1,28,24,56,56,2,2,2,90,28/1,21.09285714,,,2.85,,,1.611472303,Cotton,S/J,Body
Fukuhara,27-06-2022  ,28 X 24,Sample Without Order,MS-210622-44/22,FLAME 32638  ,Wash  ,2.85  ,56,155,0,0,3.3,0,3.3,0,,28/1,1,28,24,56,56,2,2,2,90,28/1,21.09285714,,,2.85,,,1.611472303,Cotton,S/J,other
Fukuhara,27-06-2022  ,28 X 24,Sample Without Order,FB-691W,WHITE  ,White Color  ,2.80  ,60,180,0.1,0,0,0,0.1,0,,24/1,1,28,24,60,60,2.142857143,2.142857143,2.142857143,84,24/1,24.60833333,,,2.8,,,1.77167097,Cotton,S/J,Top
Fukuhara,27-06-2022  ,28 X 24,Sample Without Order,FB-691W,WHITE  ,White Color  ,2.80  ,60,180,14.8,0,0,0,14.8,0,,24/1,1,28,24,60,60,2.142857143,2.142857143,2.142857143,84,24/1,24.60833333,,,2.8,,,1.77167097,Cotton,S/J,Top
Fukuhara,27-06-2022  ,28 X 24,Other,FB-26,WHITE AOP  ,Average Color  ,3.00  ,62/64,175,199.2,152.8,166.4,0,518.4,518.4,0,24/1,1,28,24,62,64,2.214285714,2.285714286,2.25,90,24/1,24.60833333,,,3,,,1.653559572,Cotton,S/J,Body
